geneID	SRR7652568	SRR7652563	healthy.AVG
Solyc05g006323.1.1	4.45	4.11	4.26
Solyc01g100590.3.1	5.62	5.69	5.9
Solyc11g068810.2.1	4.12	3.89	4.3
Solyc01g086970.3.1	6.1	6.3	5.08
Solyc09g097865.1.1	0.66	0.08	1.36
Solyc10g080045.1.1	3.52	3.67	4.42
Solyc06g060970.2.1	1.53	2.05	1.48
Solyc06g066470.3.1	4.03	3.73	3.32
Solyc03g025340.1.1	5.8	5.89	6.26
Solyc03g118120.3.1	5.63	5.19	6.18
Solyc12g096130.2.1	1.55	0.65	1.87
Solyc01g080530.3.1	3.88	3.93	4.17
Solyc05g014980.3.1	4.17	4.24	4.83
Solyc04g024340.3.1	4.03	4.24	3.48
Solyc02g069230.3.1	5.52	5.69	5.5
Solyc12g099420.2.1	3.85	3.59	3.83
Solyc11g012840.2.1	5.07	4.83	4.03
Solyc03g005730.3.1	7.98	7.85	8.52
Solyc02g083130.3.1	4.4	4.57	2.63
Solyc03g025860.3.1	0.9	0.64	0.28
Solyc04g005030.3.1	4.89	4.79	4.8
Solyc01g073940.3.1	4.2	4.25	3.28
Solyc08g062700.3.1	3.8	4.04	3.61
Solyc09g066495.1.1	2.25	2.35	3.25
Solyc06g008150.3.1	3.65	3.65	3.55
Solyc09g075560.1.1	3.61	3.5	4.91
Solyc05g053715.1.1	0.83	1.38	0.75
Solyc01g067360.3.1	0.59	1.63	2.5
Solyc07g065970.2.1	3.12	2.95	3.58
Solyc01g109710.3.1	4.96	5.02	4.8
Solyc10g085490.2.1	2.24	2.15	2.22
Solyc07g006230.1.1	1.55	2.2	1.68
Solyc06g074310.3.1	6.43	6.65	7.05
Solyc05g013207.1.1	3.47	3.28	4.98
Solyc11g012920.2.1	3.94	4.14	3.84
Solyc01g094170.3.1	2.49	2.16	0.72
Solyc02g076810.3.1	4.47	4.27	3.95
Solyc06g076140.3.1	9.29	9.53	10.03
Solyc11g011250.2.1	6.5	6.21	6.9
Solyc06g053830.3.1	2.69	2.8	1.99
Solyc02g089700.3.1	1.08	0.99	1.63
Solyc09g005480.3.1	3.55	3.48	4.31
Solyc01g097220.2.1	2.3	2.15	2.03
Solyc01g088380.2.1	1.36	1.64	2.7
Solyc05g013300.1.1	3.79	3.35	3.76
Solyc03g098240.3.1	5.14	5.1	3.35
Solyc12g009210.2.1	5.14	5.21	4.72
Solyc12g095890.2.1	5.72	5.61	5.67
Solyc01g098610.3.1	6.69	6.73	7.07
Solyc05g013740.3.1	4.37	4.53	4.03
Solyc10g005840.3.1	5	4.77	4.89
Solyc06g053300.3.1	4.95	4.95	5.18
Solyc10g081080.1.1	4.04	3.81	3.81
Solyc06g074200.3.1	9.54	9.39	10.12
Solyc06g060620.3.1	4.77	6.01	4.86
Solyc09g009120.3.1	5.2	5.15	5.22
Solyc06g067975.1.1	-0.3	0.37	-0.51
Solyc02g072120.3.1	2.5	2.3	1.43
Solyc10g076700.2.1	3.77	3.41	4.58
Solyc04g076290.3.1	3.59	3.46	3.5
Solyc01g067480.3.1	4.82	4.94	4.68
Solyc06g066370.3.1	5.64	5.11	6.07
Solyc01g080790.3.1	3.47	3.25	3.71
Solyc01g049680.3.1	6.09	6.03	5.88
Solyc06g062330.2.1	0.59	1.74	2.25
Solyc01g109570.3.1	7.76	7.8	7.22
Solyc08g079280.3.1	5.81	5.76	5.76
Solyc06g008230.3.1	4.79	4.55	4.36
Solyc10g005400.3.1	2.46	1.81	5.89
Solyc03g033320.3.1	3.15	3.15	3.57
Solyc01g009750.3.1	5.14	5.09	5.06
Solyc02g080200.3.1	3.54	4.01	2.78
Solyc01g101220.2.1	0.32	1.22	0.17
Solyc05g021100.2.1	5.06	5.15	4.69
Solyc09g074380.3.1	5.03	4.92	4.76
Solyc03g123950.3.1	3.28	3	2.96
Solyc06g068400.3.1	2.84	3.15	3.36
Solyc02g068420.3.1	6.1	6.13	5.5
Solyc02g076900.3.1	0.02	0.25	0.2
Solyc02g012020.2.1	-0.03	-0.08	0.91
Solyc09g064740.3.1	2.2	2.47	1.91
Solyc05g014150.3.1	0.74	0.14	1.15
Solyc07g005850.2.1	4.11	3.72	3.35
Solyc06g066340.3.1	3.58	3.55	3.24
Solyc07g063470.1.1	0.24	0.26	-2.19
Solyc03g116640.3.1	1.36	0.97	1.12
Solyc07g008040.3.1	5.86	5.97	5.2
Solyc04g077160.1.1	0.98	1.36	0.6
Solyc11g042500.2.1	2.93	2.59	3.17
